序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2589,600834,申通地铁,8.59,-0.58,-0.05,48231.0,41465925.0,2.31,8.72,8.52,8.69,8.64,0.84,1.01,74.89,2.39,4100710564.0,4100710564.0,0.12,0.0,1.66,6.05
2590,002833,弘亚数控,17.12,-0.58,-0.1,42788.0,73420027.36,1.22,17.27,17.06,17.22,17.22,0.64,1.48,14.98,2.62,7262839805.0,4940117172.0,-0.17,-0.17,4.65,4.2
2591,600665,天地源,3.41,-0.58,-0.02,160141.0,53722855.0,4.96,3.45,3.28,3.45,3.43,1.1,1.85,-11.85,1.07,2946657797.0,2946657797.0,0.29,0.29,1.19,8.95
2592,600738,丽尚国潮,5.09,-0.59,-0.03,147098.0,74565693.0,1.56,5.11,5.03,5.11,5.12,1.01,1.93,24.3,1.94,3875196351.0,3871790938.0,-0.2,0.2,-11.17,2.62
2593,605258,协和电子,33.9,-0.59,-0.2,19908.0,67498122.0,2.4,34.33,33.51,33.93,34.1,0.67,2.26,51.51,2.53,2983200000.0,2983200000.0,0.3,-0.06,12.14,14.33
2594,300883,龙利得,6.74,-0.59,-0.04,153592.0,103218850.0,2.95,6.84,6.64,6.84,6.78,0.95,4.64,975.11,1.64,2332040000.0,2228746636.0,0.3,0.15,9.95,25.75
2595,000596,古井贡酒,160.8,-0.59,-0.95,33679.0,535228885.8,2.19,160.88,157.34,160.06,161.75,1.09,0.82,11.61,3.38,84998880000.0,65702880000.0,0.19,0.19,21.93,-3.89
2596,003039,顺控发展,13.41,-0.59,-0.08,34346.0,46009170.0,1.93,13.57,13.31,13.5,13.49,1.16,0.56,33.88,3.04,8280926169.0,8280926169.0,-0.07,-0.07,-0.67,4.2
2597,600558,大西洋,5.08,-0.59,-0.03,123209.0,62713882.0,1.96,5.15,5.05,5.13,5.11,0.87,1.37,25.38,1.85,4559832541.0,4559832541.0,0.0,0.2,0.4,27.96
2598,603860,中公高科,30.47,-0.59,-0.18,8165.0,24926660.0,1.57,30.8,30.32,30.36,30.65,0.8,1.22,-3065.5,2.56,2031739600.0,2031739600.0,-0.1,-0.03,-1.1,3.85
2599,688132,邦彦技术,18.52,-0.59,-0.11,17789.0,33079143.0,3.22,18.95,18.35,18.66,18.63,0.89,1.64,-23.62,2.02,2819210778.0,2009340697.0,-0.05,-0.43,-4.39,9.07
2600,603385,惠达卫浴,6.71,-0.59,-0.04,50271.0,33463458.0,3.41,6.79,6.56,6.73,6.75,1.24,1.32,71.06,0.68,2554261935.0,2554261935.0,0.45,0.6,0.75,7.36
2601,002252,上海莱士,6.77,-0.59,-0.04,361757.0,245247048.8,1.17,6.83,6.75,6.81,6.81,0.93,0.55,21.82,1.39,44939157346.0,44915494673.0,0.0,-0.15,-1.31,-5.84
2602,300384,三联虹普,16.96,-0.59,-0.1,33504.0,56782079.0,1.7,17.12,16.83,17.0,17.06,0.9,1.52,18.83,2.0,5410363214.0,3735146066.0,0.0,-0.12,-0.93,-7.83
2603,688623,双元科技,66.88,-0.59,-0.4,3040.0,20306501.0,1.9,67.49,66.21,67.45,67.28,0.76,1.59,54.17,1.88,3955463776.0,1280263776.0,0.45,0.01,5.17,24.59
2604,600724,宁波富达,4.94,-0.6,-0.03,136566.0,67290789.0,2.82,5.02,4.88,4.97,4.97,0.74,0.95,30.79,2.55,7139490891.0,7138016760.0,0.2,0.2,9.05,-20.45
