序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3053,300804,广康生化,36.92,0.08,0.03,10897.0,40102191.69,1.68,37.07,36.45,36.75,36.89,0.83,3.96,58.8,2.01,2732080000.0,1015300000.0,-0.16,-0.08,-7.63,5.49
3054,000685,中山公用,12.28,0.08,0.01,178286.0,219117299.8,1.55,12.39,12.2,12.27,12.27,0.68,1.42,11.22,1.01,18114367390.0,15398655337.0,-0.08,0.0,-3.76,5.41
3055,301468,博盈特焊,69.33,0.07,0.05,94498.0,651239421.62,6.35,70.9,66.5,68.54,69.28,0.69,12.6,162.57,3.94,9020795092.0,5199930674.0,0.14,-0.07,98.88,32.61
3056,600520,三佳科技,29.43,0.07,0.02,127440.0,373677337.0,4.69,29.89,28.51,28.51,29.41,0.78,8.04,690.97,12.01,4662594900.0,4662594900.0,0.0,0.1,5.86,19.63
3057,688511,*ST天微,28.36,0.07,0.02,27151.0,77847443.0,4.83,29.49,28.12,28.28,28.34,1.23,2.64,53.33,3.43,2916234467.0,2916234467.0,0.0,0.11,12.36,-1.15
3058,301313,凡拓数创,29.19,0.07,0.02,24173.0,70360448.0,2.37,29.33,28.64,28.96,29.17,0.5,3.2,-23.49,4.19,3019804746.0,2203488181.0,0.07,0.0,5.0,10.11
3059,301206,三元生物,27.57,0.07,0.02,10510.0,28956935.0,0.76,27.65,27.44,27.47,27.55,0.71,0.81,62.07,1.32,5578119549.0,3591905674.0,0.0,0.04,0.44,4.87
3060,002028,思源电气,196.95,0.07,0.13,169109.0,3316660032.73,6.89,201.56,188.0,192.79,196.82,0.99,2.77,48.64,9.92,153835047623.0,120034917777.0,0.04,0.39,59.93,27.4
3061,920768,拾比佰,14.1,0.07,0.01,26196.0,36851171.4,2.56,14.28,13.92,13.99,14.09,0.66,3.42,25.61,2.24,1564677000.0,1078569433.0,0.14,0.14,0.21,17.01
3062,300004,南风股份,14.41,0.07,0.01,353304.0,508787875.56,4.44,14.74,14.1,14.3,14.4,0.58,7.36,155.07,3.89,6916707747.0,6916707747.0,-0.14,0.0,24.87,17.63
3063,603137,恒尚节能,14.42,0.07,0.01,13572.0,19502737.0,0.97,14.44,14.3,14.34,14.41,0.86,1.84,42.03,2.12,2637898676.0,1063234676.0,0.0,0.0,-1.37,4.95
