,,,市值,市值,市值,市值,市值,市值,市值,市值
,,,count,mean,std,min,25%,50%,75%,max
行业,行业2,行业3,,,,,,,,
通信,通信设备,其他通信设备,11.0,91.52,57.62,44.09,57.08,69.74,105.82,239.9
通信,通信设备,通信线缆及配套,11.0,367.21,448.49,28.4,69.01,113.77,588.22,1367.86
通信,通信设备,通信终端及配件,28.0,155.26,161.21,8.32,42.52,95.46,217.56,675.97
通信,通信设备,通信网络设备及器件,35.0,608.67,1309.79,26.35,53.28,168.21,448.05,6552.26
钢铁,普钢,板材,17.0,343.43,391.96,43.69,129.24,231.42,342.78,1529.1
银行,农商行Ⅱ,农商行Ⅲ,10.0,256.48,265.7,99.51,106.32,118.57,219.6,794.7
银行,国有大型银行Ⅱ,国有大型银行Ⅲ,6.0,16734.01,8830.29,5823.17,8783.79,19820.62,23138.76,25589.97
银行,城商行Ⅱ,城商行Ⅲ,17.0,708.42,621.49,131.57,208.04,362.57,1148.24,2027.3
银行,股份制银行Ⅱ,股份制银行Ⅲ,9.0,3171.03,2709.53,801.97,1633.08,2103.6,3997.66,9659.2
非银金融,保险Ⅱ,保险Ⅲ,5.0,7286.45,5157.09,2510.3,3980.16,4231.03,12056.07,13654.68
非银金融,多元金融,资产管理,4.0,122.33,66.37,54.88,94.2,110.34,138.47,213.76
非银金融,多元金融,金融控股,9.0,281.81,352.4,12.17,44.35,218.58,256.39,1123.88
非银金融,证券Ⅱ,证券Ⅲ,50.0,776.34,895.99,111.37,301.91,428.95,737.0,4145.31
食品饮料,休闲食品,烘焙食品,9.0,55.75,30.86,16.46,28.64,61.44,78.11,100.39
食品饮料,休闲食品,零食,11.0,103.11,97.96,46.12,49.59,57.74,108.22,368.34
食品饮料,白酒Ⅱ,白酒Ⅲ,20.0,1511.36,4118.27,6.59,100.45,189.57,732.94,18469.98
食品饮料,调味发酵品Ⅱ,调味发酵品Ⅲ,14.0,251.51,539.06,25.45,48.36,100.44,142.38,2099.05
食品饮料,非白酒,其他酒类,9.0,81.65,65.15,16.83,26.31,84.05,103.37,214.74
食品饮料,非白酒,啤酒,7.0,246.25,292.67,18.73,29.06,203.63,299.67,843.89
食品饮料,食品加工,保健品,8.0,78.58,62.84,18.55,30.51,59.0,113.01,205.03
食品饮料,食品加工,肉制品,7.0,174.37,319.29,33.1,39.53,60.58,75.24,897.35
食品饮料,食品加工,预加工食品,10.0,70.68,81.14,23.48,32.25,39.14,66.86,290.69
食品饮料,饮料乳品,乳品,18.0,148.13,384.72,23.84,31.54,42.45,82.04,1682.55
食品饮料,饮料乳品,软饮料,8.0,265.74,440.42,51.38,58.84,73.61,177.19,1320.63
